time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-05T07:48:47.650Z,34.1715,-117.3335,10.59,0.78,ml,12,141,0.04542,0.27,ci,ci37888351,2018-03-05T07:52:28.994Z,"2km NNE of Muscoy, CA",earthquake,2.05,2.17,0.186,14,automatic,ci,ci
2018-03-05T07:42:09.718Z,63.4468,-146.2227,3.4,1.5,ml,,,,0.5,ak,ak18587680,2018-03-05T07:46:33.116Z,"68km SW of Deltana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-05T07:41:30.750Z,33.3731667,-116.9166667,19.69,0.38,ml,37,30,0.04923,0.17,ci,ci37888335,2018-03-05T14:18:21.818Z,"5km WNW of Palomar Observatory, CA",earthquake,0.24,0.5,0.05,5,reviewed,ci,ci
2018-03-05T07:34:13.577Z,63.5207,-147.9432,0,1.4,ml,,,,0.65,ak,ak18587678,2018-03-05T07:38:09.835Z,"52km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-05T07:21:15.502Z,60.011,-139.5351,1.9,1.7,ml,,,,0.81,ak,ak18587338,2018-03-05T07:35:58.856Z,"52km NNE of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-03-05T07:10:50.982Z,62.7356,-151.7114,8.7,1.2,ml,,,,0.32,ak,ak18587335,2018-03-05T07:21:03.477Z,"94km WNW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-05T07:06:15.990Z,33.4918333,-116.7918333,4.91,0.32,ml,13,114,0.08636,0.18,ci,ci37888311,2018-03-05T14:18:38.527Z,"9km NE of Aguanga, CA",earthquake,0.53,2.09,0.09,6,reviewed,ci,ci
2018-03-05T07:05:20.650Z,62.5132,-151.608,100.3,1.5,ml,,,,0.4,ak,ak18587332,2018-03-05T07:10:59.414Z,"80km WNW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-03-05T07:00:06.520Z,33.564,-116.773,3.98,0.15,ml,12,108,0.02984,0.14,ci,ci37888303,2018-03-05T14:19:02.729Z,"9km W of Anza, CA",earthquake,0.5,0.6,0.141,6,reviewed,ci,ci
2018-03-05T06:42:11.990Z,33.6443333,-117.3135,15.87,0.96,ml,26,78,0.03138,0.17,ci,ci37888287,2018-03-05T14:19:19.731Z,"3km ENE of Lakeland Village, CA",earthquake,0.3,0.63,0.274,25,reviewed,ci,ci
